report_date,channel, spend 
2/25/2023,snapchat, $-   
2/25/2023,tiktok, $-   
2/26/2023,apple brand search,1996.00
2/26/2023,google brand search,688.00
2/26/2023,growth-promo,100.00
2/26/2023,impact radius,1995.00
2/26/2023,influencer,35.00
2/26/2023,referral,900.00
2/26/2023,snapchat, $-   
2/26/2023,tiktok, $-   
2/27/2023,apple brand search,2276.00
2/27/2023,google brand search,591.00
2/27/2023,impact radius,3240.00
2/27/2023,influencer,51.00
2/27/2023,snapchat, $-   
2/27/2023,tiktok, $-   
2/28/2023,apple brand search,1982.00
2/28/2023,google brand search,533.00
2/28/2023,growth-promo,150.00
2/28/2023,impact radius,2585.00
2/28/2023,influencer,72.00
2/28/2023,referral,1200.00
2/28/2023,snapchat, $-   
2/28/2023,tiktok, $-   
3/1/2023,apple brand search,2583.00
3/1/2023,google brand search,561.00
3/1/2023,growth-promo,200.00
3/1/2023,impact radius,3360.00
3/1/2023,influencer,105.00
3/1/2023,referral,5000.00
3/1/2023,snapchat, $-   
3/1/2023,tiktok, $-   
3/2/2023,apple brand search,2295.00
3/2/2023,google brand search,659.00
3/2/2023,growth-promo,400.00
3/2/2023,impact radius,2255.00
3/2/2023,influencer,38.00
3/2/2023,referral,5600.00
3/2/2023,snapchat, $-   
3/2/2023,tiktok, $-   
3/3/2023,apple brand search,1793.00
3/3/2023,google brand search,608.00
3/3/2023,growth-promo,450.00
3/3/2023,impact radius,2040.00
3/3/2023,influencer,106.00
3/3/2023,referral,8300.00
3/3/2023,snapchat, $-   
3/3/2023,tiktok, $-   
3/4/2023,apple brand search,1997.00
3/4/2023,google brand search,560.00
3/4/2023,impact radius,1520.00
3/4/2023,influencer,36.00
3/4/2023,referral,2500.00
3/4/2023,snapchat, $-   
3/4/2023,tiktok, $-   
3/5/2023,apple brand search,1879.00
3/5/2023,google brand search,514.00
3/5/2023,impact radius,1435.00
3/5/2023,influencer,46.00
3/5/2023,referral,1100.00
3/5/2023,snapchat, $-   
3/5/2023,tiktok, $-   
3/6/2023,apple brand search,1855.00
3/6/2023,google brand search,646.00
3/6/2023,growth-promo,100.00
3/6/2023,impact radius,1980.00
3/6/2023,influencer,59.00
3/6/2023,referral,1100.00
3/6/2023,snapchat, $-   
3/6/2023,tiktok, $-   
3/7/2023,apple brand search,2301.00
3/7/2023,google brand search,648.00
3/7/2023,growth-promo,100.00
3/7/2023,impact radius,2295.00
3/7/2023,influencer,61.00
3/7/2023,referral,700.00
3/7/2023,snapchat, $-   
3/7/2023,tiktok, $-   
3/8/2023,apple brand search,2179.00
3/8/2023,google brand search,727.00
3/8/2023,growth-promo,100.00
3/8/2023,impact radius,2510.00
3/8/2023,influencer,52.00
3/8/2023,referral,1400.00
3/8/2023,snapchat, $-   
3/8/2023,tiktok, $-   
3/9/2023,apple brand search,2244.00
3/9/2023,google brand search,850.00
3/9/2023,growth-promo,200.00
3/9/2023,impact radius,2830.00
3/9/2023,influencer,93.00
3/9/2023,referral,3700.00
3/9/2023,snapchat, $-   
3/9/2023,tiktok, $-   
3/10/2023,apple brand search,2260.00
3/10/2023,google brand search,636.00
3/10/2023,growth-promo,450.00
3/10/2023,impact radius,2000.00
3/10/2023,influencer,140.00
3/10/2023,referral,8400.00
3/10/2023,snapchat, $-   
3/10/2023,tiktok, $-   
3/11/2023,apple brand search,1938.00
3/11/2023,google brand search,564.00
3/11/2023,growth-promo,150.00
3/11/2023,impact radius,1860.00
3/11/2023,influencer,38.00
