"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"2599","C",-0.380421956715973,-4738.91631481083,-0.0282229546471969,0,0,-4738.91631481083,-0.0282229546471969,0,0,FALSE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2600","V",-0.49635674213435,-591.657236624147,-0.00352365693898009,0,0,-591.657236624147,-0.00352365693898009,0,0,FALSE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2601","apple_brand_search",1.77334579446952,383.172264651646,0.00228200979484037,0.478367371600058,0.00314454205424008,383.172264651646,0.00228200979484037,0.478367371600058,0.00314454205424008,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,2451920,2282.97951582868,2549.69827849661,266.718762667938,0.386196784136525,0.0245196859801761,0.00950354592463682,0.00016916349071855,0.000156274374633612,6399.00177072867,4,FALSE,0.000408634016830384,4.52494944604329e-05,0,0.000840934267799361,0.0816066071422928
"2602","apple_non_brand_search",4.58905545427153,312.448749475623,0.0018608108479282,0.592881877562853,0.00389730175567222,312.448749475623,0.0018608108479282,0.592881877562853,0.00389730175567222,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,353674,329.305400372438,354.462344853246,25.1569444808066,0.258369445716879,0.00353681009957617,0.0077494414749368,0.000784589154701587,0.000883437146851686,1131.94244045964,4,FALSE,0.00159056038766717,0.000228022422461035,0,0.00376396307085941,0.0465192724607056
"2603","Misc",85.7763662320701,245.182965246874,0.00146020466468271,0.264205781516028,0.001736753466633,245.182965246874,0.00146020466468271,0.264205781516028,0.001736753466633,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,1649259,1535.62290502793,2020.993268996,485.370363968069,0.000576541209467558,0.0164929168896128,0.00608109663751542,3.75444523248416e-07,0.000148662499490301,6726.64594923782,4,FALSE,0.00011748198105922,3.2297320325403e-06,8.65158902528582e-05,0.000148262458850482,0.0313025958429191
"2604","direct_mail",14.6208223368532,530.983310657679,0.00316230903851873,0.643616134130517,0.00423080276940985,530.983310657679,0.00316230903851873,0.643616134130517,0.00423080276940985,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,2264961,2108.90223463688,2350.47107236834,241.568837731465,0.182655796953234,0.0226500589241679,0.0131695969243458,8.66117897516877e-05,0.00023443375433735,4265.59734465968,4,FALSE,0.000525662161792612,7.06259113427347e-05,0,0.00120001938596097,0.034822156238609
"2605","facebook",38.1109531404304,11776.8856587328,0.070138083846899,10.9756623100958,0.0721483816753482,11776.8856587328,0.070138083846899,10.9756623100958,0.0721483816753482,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,31543492,29370.1042830542,38660.5769392202,9290.47265616616,16.8465379691417,0.31544117204403,0.292093619585738,0.000573594761761255,0.00037335389685875,2678.42389864844,4,FALSE,0.000326498553741974,4.78746102849055e-06,0.000280821368595291,0.000372348866178933,0.568024635073851
"2606","google_brand_search",35.293733218849,2215.02756052845,0.0131917548718269,2.06433137048318,0.0135698569629841,2215.02756052845,0.0131917548718269,2.06433137048318,0.0135698569629841,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,3363900,3132.12290502795,3640.44710953679,508.324204508858,0.682465122737164,0.0336396667381948,0.0549377345068442,0.00021789219115304,0.000658470097365692,1518.67184857847,4,FALSE,0.00067250232959609,5.6863115986287e-05,0.000128154083213085,0.00121527284617755,0.00421215164307758
"2607","google_non_brand_search",52.1676671557501,1030.20089620899,0.00613543503191583,1.02609651016831,0.00674503283353295,1030.20089620899,0.00613543503191583,1.02609651016831,0.00674503283353295,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,7329326,6824.32588454374,6955.48386316732,131.157978623556,0.177075747107833,0.0732947127012057,0.0255513314295465,2.5947727307233e-05,0.000140558749359626,7114.46284600511,4,FALSE,0.000344968743367767,4.62175326414291e-05,0,0.000787665466054687,1.27871670475472e-05
"2608","google_uac",48.9953873910613,5409.29151045237,0.0322154220144862,6.21757644879583,0.0408711625822116,5409.29151045237,0.0322154220144862,6.21757644879583,0.0408711625822116,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,12748718,11870.3147113595,16686.1570365477,4815.8423251883,3.39901457711499,0.12748970684599,0.134162764458091,0.00028634578440134,0.00042430082071408,2356.81844385086,4,FALSE,0.000293092195138241,2.80340868346134e-05,2.46012865400406e-05,0.000560561746530186,0.180686554264288
"2609","impact_radius",42.8402658674497,2993.79788004136,0.0178297771427632,3.1088243821821,0.020435818973857,2993.79788004136,0.0178297771427632,3.1088243821821,0.020435818973857,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,3197084,2976.80074487897,3070.42483527138,93.6240903924276,0.815044300886023,0.0319714736746082,0.0742530142882856,0.000273798742589055,0.00093641514581455,1067.9024196369,4,FALSE,0.000868907191189191,6.91197636494842e-05,0.000210242988590495,0.00153168643486848,0.000168315122227327
"2610","influencer",90.0726481848258,6605.00687935085,0.0393365903123748,6.15564480834188,0.040464055702735,6605.00687935085,0.0393365903123748,6.15564480834188,0.040464055702735,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,16496960,15360.2979515829,18609.0724862846,3248.77453470174,4.73064450768083,0.164972869762279,0.163819232238847,0.000307978694332119,0.000400377213701849,2497.6446355528,4,FALSE,0.000397139920795562,1.57715093761998e-05,0.000246783485875906,0.000548305895714853,0.105347005032259
"2611","podcast",34.8540624531572,1636.10080271022,0.00974391520880362,2.47894061016699,0.016295285718506,1636.10080271022,0.00974391520880362,2.47894061016699,0.016295285718506,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,607974,566.083798882686,721.334881154552,155.251082271873,0.369258189998145,0.00607986050283517,0.0405790307657772,0.00065230305252857,0.00269107034628161,371.59935316509,4,FALSE,0.00160152340218846,0.000154653329366456,0.000122405668107166,0.00307909443187001,0.0656797306742845
"2612","radio",97.5632773328379,855.775287914134,0.00509663086125981,1.57311633807746,0.0103408609679016,855.775287914134,0.00509663086125981,1.57311633807746,0.0103408609679016,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,39955,37.2020484171319,43.5845754071032,6.38252698997064,1.326198119121,0.000399557919237959,0.0212251785949464,0.0356485240879982,0.0214184779855871,46.6886583011602,4,FALSE,0.0206632970965124,0.000649535688935401,0.0144573413820169,0.0268752756159941,0.221394088341646
